acronym,team_name,sport
NMSU,New Mexico State,football
USA,South Alabama,football
TXST,Texas State,football
TROY,Troy,football
Big Sky,Big Sky,football
CP,Cal Poly,football
EWU,Eastern Washington,football
IDST,Idaho State,football
MONT,Montana,football
MTST,Montana State,football
UND,North Dakota,football
NAU,Northern Arizona,football
UNCO,Northern Colorado,football
PRST,Portland State,football
SAC,Sacramento State,football
SUU,Southern Utah,football
UCD,UC Davis,football
WEB,Weber State,football
Big South,Big South,football
CHSO,Charleston Southern,football
CCAR,Coastal Carolina,football
WEBB,Gardner-Webb,football
KENN,Kennesaw State,football
LIB,Liberty,football
MONM,Monmouth,football
PRE,Presbyterian,football
CAA,CAA,football
ALBY,Albany,football
DEL,Delaware,football
ELON,Elon,football
JMU,James Madison,football
MAINE or MNE,Maine,football
UNH,New Hampshire,football
URI,Rhode Island,football
RICH,Richmond,football
STON,Stony Brook,football
TOWS,Towson,football
NOVA,Villanova,football
W&M,William & Mary,football
Ivy,Ivy League,football
BRWN,Brown,football
COR,Cornell,football
CLMB,Columbia,football
DART,Dartmouth,football
HARV,Harvard,football
PENN,UPenn,football
PRIN,Princeton,football
YALE,Yale,football
MEAC,MEAC,football
COOK,Bethune-Cookman,football
DSU,Delaware State,football
FAMU,Florida A&M,football
HAMP,Hampton,football
HOW,Howard,football
MORG,Morgan State,football
NORF,Norfolk State,football
NCAT,North Carolina A&T,football
NCCU,NC Central,football
SAV,Savannah State,football
SCST,South Carolina State,football
MVFC,Missouri Valley,football
ILST,Illinois State,football
INST,Indiana State,football
MOST,Missouri State,football
NDSU,North Dakota State,football
UNI,Northern Iowa,football
SDAK,South Dakota,football
SDSU,South Dakota State,football
SIU,Southern Illinois,football
WIU,Western Illinois,football
YSU,Youngstown State,football
NEC,Northeast,football
BRY,Bryant,football
CCSU,Central Connecticut,football
DUQ,Duquesne,football
RMU,Robert Morris (PA),football
SHU,Sacred Heart,football
SFU,St. Francis (PA),football
WAG,Wagner,football
OVC,Ohio Valley,football
PEAY,Austin Peay,football
EIU,Eastern Illinois,football
EKY,Eastern Kentucky,football
JVST,Jacksonville State,football
MURR,Murray State,football
SEMO,Southeast Missouri,football
TNST,Tennessee State,football
TNTC,Tennessee Tech,football
UTM,Tennessee-Martin,football
Patriot,Patriot,football
BUCK,Bucknell,football
COLG,Colgate,football
FOR,Fordham,football
GTWN,Georgetown,football
HC,Holy Cross,football
LAF,Lafayette,football
LEH,Lehigh,football
Pioneer,Pioneer,football
BUT,Butler,football
CAMP,Campbell,football
DAV,Davidson,football
DAY,Dayton,football
DRKE,Drake,football
JAC,Jacksonville,football
MRST,Marist,football
MORE,Morehead State,football
USD,San Diego,football
STET,Stetson,football
VALP,Valparaiso,football
SoCon,SoCon,football
CHAT,Chattanooga,football
ETSU,ETSU,football
FUR,Furman,football
MER,Mercer,football
SAM,Samford,football
CIT,The Citadel,football
VMI,VMI,football
WCU,Western Carolina,football
WOF,Wofford,football
Southland,Southland,football
ACU,Abilene Christian,football
UCA,Central Arkansas,football
HBU,Houston Baptist,football
IW,Incarnate Word,football
LAM,Lamar,football
MCNS,McNeese State,football
NICH,Nicholls State,football
NWST,Northwestern State,football
SHSU,Sam Houston State,football
SELA,Southeastern Louisiana,football
SFA,Stephen F. Austin,football
SWAC,SWAC,football
AAMU,Alabama A&M,football
ALST,Alabama State,football
ALCN,Alcorn State,football
ARPB,Arkansas-Pine Bluff,football
GRAM,Grambling State,football
JKST,Jackson State,football
MVSU,Mississippi Valley State,football
PV,Prairie View A&M,football
SOU,Southern University,football
TXSO,Texas Southern,football
XAV,Xavier,basketball
DUK,Duke,basketball
VIL,Villanova,basketball
STH,Seton Hall,basketball
CIN,Cincinnati,basketball
BC,Boston College,basketball
CLEM,Clemson,basketball
DUKE,Duke,basketball
FSU,Florida State,basketball
GT,Georgia Tech,basketball
LOU,Louisville,basketball
MIA,Miami (FL),basketball
NCST,NC State,basketball
PITT,Pittsburgh,basketball
SYR,Syracuse,basketball
UNC,North Carolina,basketball
UVA,Virginia,basketball
VT,Virginia Tech,basketball
WAKE,Wake Forest,basketball
ILL,Illinois,basketball
IND,Indiana,basketball
IOWA,Iowa,basketball
MICH,Michigan,basketball
MSU,Michigan State,basketball
MINN,Minnesota,basketball
NEB,Nebraska,basketball
NW,Northwestern,basketball
OSU,Ohio State,basketball
PSU,Penn State,basketball
PUR,Purdue,basketball
RUTG,Rutgers,basketball
UMD,Maryland,basketball
WIS,Wisconsin,basketball
BAY,Baylor,basketball
ISU,Iowa State,basketball
KU,Kansas,basketball
KSU,Kansas State,basketball
OKL,Oklahoma,basketball
OKS,Oklahoma State,basketball
TCU,TCU,basketball
TEX,Texas,basketball
TTU,Texas Tech,basketball
WVU,West Virginia,basketball
ARZ,Arizona,basketball
ASU,Arizona State,basketball
CAL,Cal,basketball
COL,Colorado,basketball
ORE,Oregon,basketball
OST,Oregon State,basketball
STAN,Stanford,basketball
UCLA,UCLA,basketball
USC,USC,basketball
UTAH,Utah,basketball
WASH,Washington,basketball
WSU,Washington State,basketball
ALA,Alabama,basketball
ARK,Arkansas,basketball
AUB,Auburn,basketball
FLA,Florida,basketball
UGA,Georgia,basketball
UK,Kentucky,basketball
LSU,LSU,basketball
MISS,Ole Miss,basketball
MSST,Mississippi State,basketball
MIZ,Missouri,basketball
SC,South Carolina,basketball
TENN,Tennessee,basketball
TAMU,Texas A&M,basketball
VAN,Vanderbilt,basketball
BYU,BYU,basketball
ARMY,Army,basketball
UMASS,UMass,basketball
ND,Notre Dame,basketball
CONN,UConn,basketball
ECU,ECU,basketball
HOU,Houston,basketball
MEM,Memphis,basketball
NAVY,Navy,basketball
SMU,SMU,basketball
USF,South Florida,basketball
TEM,Temple,basketball
TULN,Tulane,basketball
TLSA,Tulsa,basketball
UCF,UCF,basketball
CHAR,Charlotte,basketball
FAU,FAU,basketball
FIU,FIU,basketball
LT,Louisiana Tech,basketball
MRSH,Marshall,basketball
MTSU,Middle Tennessee,basketball
UNT,North Texas,basketball
ODU,Old Dominion,basketball
RICE,Rice,basketball
USM,Southern Miss,basketball
UTEP,UTEP,basketball
UTSA,UTSA,basketball
WKU,WKU,basketball
AKR,Akron,basketball
BALL,Ball State,basketball
BGSU,Bowling Green,basketball
BUFF,Buffalo,basketball
CMU,Central Michigan,basketball
EMU,Eastern Michigan,basketball
KENT,Kent State,basketball
M-OH,Miami (OH),basketball
NIU,Northern Illinois,basketball
OHIO,Ohio,basketball
TOL or TOLEDO,Toledo,basketball
WMU,Western Michigan,basketball
AFA,Air Force,basketball
BSU,Boise State,basketball
CSU,Colorado State,basketball
FRES,Fresno State,basketball
HAW,Hawaii,basketball
NEV,Nevada,basketball
UNM,New Mexico,basketball
SDSU,San Diego State,basketball
SJSU,San José State,basketball
UNLV,UNLV,basketball
USU,Utah State,basketball
WYO,Wyoming,basketball
APP,Appalachian State,basketball
ARST,Arkansas State,basketball
GASO,Georgia Southern,basketball
GAST or GSU,Georgia State,basketball
IDHO,Idaho,basketball
ULL,Louisiana Lafayette,basketball
ULM,Louisiana Monroe,basketball
NMSU,New Mexico State,basketball
USA,South Alabama,basketball
TXST,Texas State,basketball
TROY,Troy,basketball
Big Sky,Big Sky,basketball
CP,Cal Poly,basketball
EWU,Eastern Washington,basketball
IDST,Idaho State,basketball
MONT,Montana,basketball
MTST,Montana State,basketball
UND,North Dakota,basketball
NAU,Northern Arizona,basketball
UNCO,Northern Colorado,basketball
PRST,Portland State,basketball
SAC,Sacramento State,basketball
SUU,Southern Utah,basketball
UCD,UC Davis,basketball
WEB,Weber State,basketball
Big South,Big South,basketball
CHSO,Charleston Southern,basketball
CCAR,Coastal Carolina,basketball
WEBB,Gardner-Webb,basketball
KENN,Kennesaw State,basketball
LIB,Liberty,basketball
MONM,Monmouth,basketball
PRE,Presbyterian,basketball
CAA,CAA,basketball
ALBY,Albany,basketball
DEL,Delaware,basketball
ELON,Elon,basketball
JMU,James Madison,basketball
MAINE or MNE,Maine,basketball
UNH,New Hampshire,basketball
URI,Rhode Island,basketball
RICH,Richmond,basketball
STON,Stony Brook,basketball
TOWS,Towson,basketball
NOVA,Villanova,basketball
W&M,William & Mary,basketball
Ivy,Ivy League,basketball
BRWN,Brown,basketball
COR,Cornell,basketball
CLMB,Columbia,basketball
DART,Dartmouth,basketball
HARV,Harvard,basketball
PENN,UPenn,basketball
PRIN,Princeton,basketball
YALE,Yale,basketball
MEAC,MEAC,basketball
COOK,Bethune-Cookman,basketball
DSU,Delaware State,basketball
FAMU,Florida A&M,basketball
HAMP,Hampton,basketball
HOW,Howard,basketball
MORG,Morgan State,basketball
NORF,Norfolk State,basketball
NCAT,North Carolina A&T,basketball
NCCU,NC Central,basketball
SAV,Savannah State,basketball
SCST,South Carolina State,basketball
MVFC,Missouri Valley,basketball
ILST,Illinois State,basketball
INST,Indiana State,basketball
MOST,Missouri State,basketball
NDSU,North Dakota State,basketball
UNI,Northern Iowa,basketball
SDAK,South Dakota,basketball
SDSU,South Dakota State,basketball
SIU,Southern Illinois,basketball
WIU,Western Illinois,basketball
YSU,Youngstown State,basketball
NEC,Northeast,basketball
BRY,Bryant,basketball
CCSU,Central Connecticut,basketball
DUQ,Duquesne,basketball
RMU,Robert Morris (PA),basketball
SHU,Sacred Heart,basketball
SFU,St. Francis (PA),basketball
WAG,Wagner,basketball
OVC,Ohio Valley,basketball
PEAY,Austin Peay,basketball
EIU,Eastern Illinois,basketball
EKY,Eastern Kentucky,basketball
JVST,Jacksonville State,basketball
MURR,Murray State,basketball
SEMO,Southeast Missouri,basketball
TNST,Tennessee State,basketball
TNTC,Tennessee Tech,basketball
UTM,Tennessee-Martin,basketball
Patriot,Patriot,basketball
BUCK,Bucknell,basketball
COLG,Colgate,basketball
FOR,Fordham,basketball
GTWN,Georgetown,basketball
HC,Holy Cross,basketball
LAF,Lafayette,basketball
LEH,Lehigh,basketball
Pioneer,Pioneer,basketball
BUT,Butler,basketball
CAMP,Campbell,basketball
DAV,Davidson,basketball
DAY,Dayton,basketball
DRKE,Drake,basketball
JAC,Jacksonville,basketball
MRST,Marist,basketball
MORE,Morehead State,basketball
USD,San Diego,basketball
STET,Stetson,basketball
VALP,Valparaiso,basketball
SoCon,SoCon,basketball
CHAT,Chattanooga,basketball
ETSU,ETSU,basketball
FUR,Furman,basketball
MER,Mercer,basketball
SAM,Samford,basketball
CIT,The Citadel,basketball
VMI,VMI,basketball
WCU,Western Carolina,basketball
WOF,Wofford,basketball
Southland,Southland,basketball
ACU,Abilene Christian,basketball
UCA,Central Arkansas,basketball
HBU,Houston Baptist,basketball
IW,Incarnate Word,basketball
LAM,Lamar,basketball
MCNS,McNeese State,basketball
NICH,Nicholls State,basketball
NWST,Northwestern State,basketball
SHSU,Sam Houston State,basketball
SELA,Southeastern Louisiana,basketball
SFA,Stephen F. Austin,basketball
SWAC,SWAC,basketball
AAMU,Alabama A&M,basketball
ALST,Alabama State,basketball
ALCN,Alcorn State,basketball
ARPB,Arkansas-Pine Bluff,basketball
GRAM,Grambling State,basketball
JKST,Jackson State,basketball
MVSU,Mississippi Valley State,basketball
PV,Prairie View A&M,basketball
SOU,Southern University,basketball
TXSO,Texas Southern,basketball
MQT,Marquette,basketball
CRE,Creighton,basketball
PRV,Providence,basketball
DEP,DePaul,basketball
STJ,St Johns,basketball
